rounds,seed,samples,epochs,random_guess_baseline,majority_baseline,train_accuracy,test_accuracy,test_accuracy_minus_baseline,train_test_gap
8,1,2000,8,0.5000,0.5212,0.5463,0.5200,0.0200,0.0262
8,2,2000,8,0.5000,0.5125,0.5534,0.4688,-0.0312,0.0847
8,3,2000,8,0.5000,0.5075,0.5434,0.5162,0.0162,0.0272
8,4,2000,8,0.5000,0.5112,0.5306,0.5025,0.0025,0.0281
8,5,2000,8,0.5000,0.5050,0.5500,0.4988,-0.0012,0.0513
16,1,2000,8,0.5000,0.5212,0.5544,0.4888,-0.0112,0.0656
16,2,2000,8,0.5000,0.5125,0.5566,0.4662,-0.0338,0.0903
16,3,2000,8,0.5000,0.5075,0.5447,0.5162,0.0162,0.0284
16,4,2000,8,0.5000,0.5112,0.5597,0.4637,-0.0363,0.0959
16,5,2000,8,0.5000,0.5050,0.5559,0.5062,0.0062,0.0497
2,1,2000,16,0.5000,0.5212,1.0000,1.0000,0.5000,0.0000
2,2,2000,16,0.5000,0.5125,1.0000,1.0000,0.5000,0.0000
2,3,2000,16,0.5000,0.5075,1.0000,1.0000,0.5000,0.0000
2,4,2000,16,0.5000,0.5112,1.0000,1.0000,0.5000,0.0000
2,5,2000,16,0.5000,0.5050,1.0000,1.0000,0.5000,0.0000
4,1,2000,16,0.5000,0.5212,0.5459,0.5100,0.0100,0.0359
4,2,2000,16,0.5000,0.5125,0.5516,0.5150,0.0150,0.0366
4,3,2000,16,0.5000,0.5075,0.5437,0.5112,0.0112,0.0325
4,4,2000,16,0.5000,0.5112,0.5497,0.4913,-0.0087,0.0584
4,5,2000,16,0.5000,0.5050,0.5400,0.4863,-0.0137,0.0538
8,1,2000,16,0.5000,0.5212,0.5441,0.5200,0.0200,0.0241
8,2,2000,16,0.5000,0.5125,0.5553,0.4800,-0.0200,0.0753
8,3,2000,16,0.5000,0.5075,0.5416,0.5275,0.0275,0.0141
8,4,2000,16,0.5000,0.5112,0.5400,0.4788,-0.0212,0.0613
8,5,2000,16,0.5000,0.5050,0.5459,0.5175,0.0175,0.0284
16,1,2000,16,0.5000,0.5212,0.5497,0.4900,-0.0100,0.0597
16,2,2000,16,0.5000,0.5125,0.5591,0.4900,-0.0100,0.0691
16,3,2000,16,0.5000,0.5075,0.5428,0.5212,0.0212,0.0216
16,4,2000,16,0.5000,0.5112,0.5516,0.4888,-0.0112,0.0628
16,5,2000,16,0.5000,0.5050,0.5506,0.5050,0.0050,0.0456
