rounds,input_bit_index,output_bit_index,seed,rng_seed,samples,flip_count,flip_rate,baseline_delta
13,11,255,4,20264523,500,246,0.492000,-0.008000
13,11,255,5,20265523,500,266,0.532000,0.032000
13,11,255,6,20266523,500,272,0.544000,0.044000
13,11,255,7,20267523,500,241,0.482000,-0.018000
13,11,255,8,20268523,500,260,0.520000,0.020000
13,11,255,9,20269523,500,270,0.540000,0.040000
13,11,255,10,20270523,500,265,0.530000,0.030000
13,11,255,11,20271523,500,253,0.506000,0.006000
13,11,255,12,20272523,500,269,0.538000,0.038000
13,11,255,13,20273523,500,243,0.486000,-0.014000
13,11,255,14,20274523,500,247,0.494000,-0.006000
13,11,255,15,20275523,500,254,0.508000,0.008000
13,11,255,16,20276523,500,251,0.502000,0.002000
13,11,255,17,20277523,500,249,0.498000,-0.002000
13,11,255,18,20278523,500,254,0.508000,0.008000
13,11,255,19,20279523,500,253,0.506000,0.006000
13,11,255,20,20280523,500,253,0.506000,0.006000
13,12,255,1,20261524,500,261,0.522000,0.022000
13,12,255,2,20262524,500,236,0.472000,-0.028000
13,12,255,3,20263524,500,243,0.486000,-0.014000
13,12,255,4,20264524,500,245,0.490000,-0.010000
13,12,255,5,20265524,500,244,0.488000,-0.012000
13,12,255,6,20266524,500,243,0.486000,-0.014000
13,12,255,7,20267524,500,265,0.530000,0.030000
13,12,255,8,20268524,500,256,0.512000,0.012000
13,12,255,9,20269524,500,239,0.478000,-0.022000
13,12,255,10,20270524,500,234,0.468000,-0.032000
13,12,255,11,20271524,500,238,0.476000,-0.024000
13,12,255,12,20272524,500,244,0.488000,-0.012000
13,12,255,13,20273524,500,259,0.518000,0.018000
13,12,255,14,20274524,500,267,0.534000,0.034000
13,12,255,15,20275524,500,265,0.530000,0.030000
13,12,255,16,20276524,500,260,0.520000,0.020000
13,12,255,17,20277524,500,235,0.470000,-0.030000
13,12,255,18,20278524,500,234,0.468000,-0.032000
13,12,255,19,20279524,500,247,0.494000,-0.006000
13,12,255,20,20280524,500,254,0.508000,0.008000
13,13,255,1,20261525,500,242,0.484000,-0.016000
13,13,255,2,20262525,500,233,0.466000,-0.034000
13,13,255,3,20263525,500,261,0.522000,0.022000
13,13,255,4,20264525,500,263,0.526000,0.026000
13,13,255,5,20265525,500,245,0.490000,-0.010000
13,13,255,6,20266525,500,271,0.542000,0.042000
13,13,255,7,20267525,500,237,0.474000,-0.026000
13,13,255,8,20268525,500,245,0.490000,-0.010000
13,13,255,9,20269525,500,251,0.502000,0.002000
13,13,255,10,20270525,500,250,0.500000,0.000000
13,13,255,11,20271525,500,252,0.504000,0.004000
13,13,255,12,20272525,500,246,0.492000,-0.008000
13,13,255,13,20273525,500,230,0.460000,-0.040000
13,13,255,14,20274525,500,250,0.500000,0.000000
13,13,255,15,20275525,500,254,0.508000,0.008000
13,13,255,16,20276525,500,255,0.510000,0.010000
13,13,255,17,20277525,500,244,0.488000,-0.012000
13,13,255,18,20278525,500,251,0.502000,0.002000
13,13,255,19,20279525,500,236,0.472000,-0.028000
13,13,255,20,20280525,500,253,0.506000,0.006000
13,14,255,1,20261526,500,265,0.530000,0.030000
13,14,255,2,20262526,500,244,0.488000,-0.012000
13,14,255,3,20263526,500,242,0.484000,-0.016000
13,14,255,4,20264526,500,238,0.476000,-0.024000
13,14,255,5,20265526,500,239,0.478000,-0.022000
13,14,255,6,20266526,500,249,0.498000,-0.002000
13,14,255,7,20267526,500,236,0.472000,-0.028000
13,14,255,8,20268526,500,249,0.498000,-0.002000
13,14,255,9,20269526,500,247,0.494000,-0.006000
13,14,255,10,20270526,500,254,0.508000,0.008000
13,14,255,11,20271526,500,240,0.480000,-0.020000
13,14,255,12,20272526,500,237,0.474000,-0.026000
13,14,255,13,20273526,500,239,0.478000,-0.022000
13,14,255,14,20274526,500,254,0.508000,0.008000
13,14,255,15,20275526,500,237,0.474000,-0.026000
13,14,255,16,20276526,500,270,0.540000,0.040000
13,14,255,17,20277526,500,243,0.486000,-0.014000
13,14,255,18,20278526,500,254,0.508000,0.008000
13,14,255,19,20279526,500,240,0.480000,-0.020000
13,14,255,20,20280526,500,253,0.506000,0.006000
13,15,255,1,20261527,500,243,0.486000,-0.014000
13,15,255,2,20262527,500,265,0.530000,0.030000
13,15,255,3,20263527,500,247,0.494000,-0.006000
13,15,255,4,20264527,500,246,0.492000,-0.008000
13,15,255,5,20265527,500,247,0.494000,-0.006000
13,15,255,6,20266527,500,260,0.520000,0.020000
13,15,255,7,20267527,500,237,0.474000,-0.026000
13,15,255,8,20268527,500,261,0.522000,0.022000
13,15,255,9,20269527,500,235,0.470000,-0.030000
13,15,255,10,20270527,500,253,0.506000,0.006000
13,15,255,11,20271527,500,245,0.490000,-0.010000
13,15,255,12,20272527,500,249,0.498000,-0.002000
13,15,255,13,20273527,500,260,0.520000,0.020000
13,15,255,14,20274527,500,244,0.488000,-0.012000
13,15,255,15,20275527,500,237,0.474000,-0.026000
13,15,255,16,20276527,500,249,0.498000,-0.002000
13,15,255,17,20277527,500,246,0.492000,-0.008000
13,15,255,18,20278527,500,238,0.476000,-0.024000
13,15,255,19,20279527,500,244,0.488000,-0.012000
13,15,255,20,20280527,500,262,0.524000,0.024000
13,16,255,1,20261528,500,262,0.524000,0.024000
13,16,255,2,20262528,500,226,0.452000,-0.048000
13,16,255,3,20263528,500,253,0.506000,0.006000
13,16,255,4,20264528,500,259,0.518000,0.018000
13,16,255,5,20265528,500,262,0.524000,0.024000
13,16,255,6,20266528,500,241,0.482000,-0.018000
13,16,255,7,20267528,500,240,0.480000,-0.020000
13,16,255,8,20268528,500,251,0.502000,0.002000
13,16,255,9,20269528,500,264,0.528000,0.028000
13,16,255,10,20270528,500,253,0.506000,0.006000
13,16,255,11,20271528,500,250,0.500000,0.000000
13,16,255,12,20272528,500,241,0.482000,-0.018000
13,16,255,13,20273528,500,256,0.512000,0.012000
13,16,255,14,20274528,500,244,0.488000,-0.012000
13,16,255,15,20275528,500,259,0.518000,0.018000
13,16,255,16,20276528,500,253,0.506000,0.006000
13,16,255,17,20277528,500,243,0.486000,-0.014000
13,16,255,18,20278528,500,256,0.512000,0.012000
13,16,255,19,20279528,500,254,0.508000,0.008000
13,16,255,20,20280528,500,243,0.486000,-0.014000
13,17,255,1,20261529,500,255,0.510000,0.010000
13,17,255,2,20262529,500,235,0.470000,-0.030000
13,17,255,3,20263529,500,260,0.520000,0.020000
13,17,255,4,20264529,500,259,0.518000,0.018000
13,17,255,5,20265529,500,236,0.472000,-0.028000
13,17,255,6,20266529,500,269,0.538000,0.038000
13,17,255,7,20267529,500,249,0.498000,-0.002000
13,17,255,8,20268529,500,254,0.508000,0.008000
13,17,255,9,20269529,500,246,0.492000,-0.008000
13,17,255,10,20270529,500,252,0.504000,0.004000
13,17,255,11,20271529,500,263,0.526000,0.026000
13,17,255,12,20272529,500,252,0.504000,0.004000
13,17,255,13,20273529,500,269,0.538000,0.038000
13,17,255,14,20274529,500,240,0.480000,-0.020000
13,17,255,15,20275529,500,246,0.492000,-0.008000
13,17,255,16,20276529,500,255,0.510000,0.010000
13,17,255,17,20277529,500,258,0.516000,0.016000
13,17,255,18,20278529,500,238,0.476000,-0.024000
13,17,255,19,20279529,500,255,0.510000,0.010000
13,17,255,20,20280529,500,254,0.508000,0.008000
13,18,255,1,20261530,500,255,0.510000,0.010000
13,18,255,2,20262530,500,266,0.532000,0.032000
13,18,255,3,20263530,500,258,0.516000,0.016000
13,18,255,4,20264530,500,259,0.518000,0.018000
13,18,255,5,20265530,500,256,0.512000,0.012000
13,18,255,6,20266530,500,248,0.496000,-0.004000
13,18,255,7,20267530,500,275,0.550000,0.050000
13,18,255,8,20268530,500,259,0.518000,0.018000
13,18,255,9,20269530,500,259,0.518000,0.018000
13,18,255,10,20270530,500,246,0.492000,-0.008000
13,18,255,11,20271530,500,268,0.536000,0.036000
13,18,255,12,20272530,500,257,0.514000,0.014000
13,18,255,13,20273530,500,248,0.496000,-0.004000
13,18,255,14,20274530,500,227,0.454000,-0.046000
13,18,255,15,20275530,500,244,0.488000,-0.012000
13,18,255,16,20276530,500,240,0.480000,-0.020000
13,18,255,17,20277530,500,255,0.510000,0.010000
13,18,255,18,20278530,500,270,0.540000,0.040000
13,18,255,19,20279530,500,253,0.506000,0.006000
13,18,255,20,20280530,500,258,0.516000,0.016000
13,19,255,1,20261531,500,251,0.502000,0.002000
13,19,255,2,20262531,500,227,0.454000,-0.046000
13,19,255,3,20263531,500,246,0.492000,-0.008000
